Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Comment Capture,,,,2019-04-20 15:55:34,2019-04-20 15:55:43,8.651s,FAILED
,,,,,,,
Test Cases/s-sidebar_navigation/individualAccount/Faizan_production_login_kiboengage,,,,2019-04-20 15:55:34,2019-04-20 15:55:36,1.848s,FAILED
"openBrowser("""")",,,,2019-04-20 15:55:35,2019-04-20 15:55:36,1.208s,FAILED
,,,,,,,
Test Cases/Invite subscribers/open growth tools,,,,2019-04-20 15:55:36,2019-04-20 15:55:37,0.490s,FAILED
"click(findTestObject(""Object Repository/Page_KiboPush  Dashboard/span_Growth Tools (3)""))",,,,2019-04-20 15:55:37,2019-04-20 15:55:37,0.178s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0505,,Test documentation link,,2019-04-20 15:55:37,2019-04-20 15:55:37,0.587s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:37,2019-04-20 15:55:37,0.420s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0507,,Test view comment capture,,2019-04-20 15:55:38,2019-04-20 15:55:38,0.502s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:38,2019-04-20 15:55:38,0.110s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0508,,Test search comment capture,,2019-04-20 15:55:38,2019-04-20 15:55:38,0.303s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:38,2019-04-20 15:55:38,0.112s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0509,,Test pagination (next page),,2019-04-20 15:55:38,2019-04-20 15:55:39,0.515s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:39,2019-04-20 15:55:39,0.111s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0510,,Test pagination (previous page),,2019-04-20 15:55:39,2019-04-20 15:55:39,0.345s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:39,2019-04-20 15:55:39,0.093s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0511,,Test pagination (Jump to page n),,2019-04-20 15:55:39,2019-04-20 15:55:40,0.396s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:39,2019-04-20 15:55:40,0.112s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0512,,Test delete button in posts list,,2019-04-20 15:55:40,2019-04-20 15:55:40,0.264s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:40,2019-04-20 15:55:40,0.107s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0513,,Test cross of delete dialogue box,,2019-04-20 15:55:40,2019-04-20 15:55:40,0.267s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:40,2019-04-20 15:55:40,0.094s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0514,,Test New Facebook Post button,,2019-04-20 15:55:40,2019-04-20 15:55:40,0.229s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:40,2019-04-20 15:55:40,0.083s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0515,,Test Choose Page,,2019-04-20 15:55:40,2019-04-20 15:55:41,0.242s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:41,2019-04-20 15:55:41,0.104s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0524,,Test Post on facebook button (without a reply),,2019-04-20 15:55:41,2019-04-20 15:55:41,0.277s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:41,2019-04-20 15:55:41,0.092s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0526,,Test Post on facebook button (with empty fields ),,2019-04-20 15:55:41,2019-04-20 15:55:41,0.330s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:41,2019-04-20 15:55:41,0.107s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0527,,Test reset button,,2019-04-20 15:55:41,2019-04-20 15:55:42,0.351s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:42,2019-04-20 15:55:42,0.096s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0528,,Test back button,,2019-04-20 15:55:42,2019-04-20 15:55:42,0.214s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:42,2019-04-20 15:55:42,0.076s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0529,,Test Edit,,2019-04-20 15:55:42,2019-04-20 15:55:42,0.282s,FAILED
"callTestCase(findTestCase(""s-sidebar_navigation/individualAccount/Comment capture""), [:], STOP_ON_FAILURE)",,,,2019-04-20 15:55:42,2019-04-20 15:55:42,0.090s,FAILED
,,,,,,,
Test Cases/Comment Capture TestCases/TC0530,,Test Save,,2019-04-20 15:55:42,2019-04-20 15:55:42,0.192s,FAILED
